No,Kabupaten/Kota,Kecamatan
23,Labuhan Batu Utara,"Aek Kuo
Aek Natas
Kualuh Hilir
Kualuh Hulu
Kualuh Leidong
Kualuh Selatan
Marbau
Na IX-X
"
24,Nias Utara,"Afulu
Alasa
Alasa Talumuzoi
Lahewa
Lahewa Timur
Lotu
Namohalu Esiwa
Sawo
Sitolu Ori
Tugala Oyo
Tuhemberua"
25,Nias Barat,"Lahomi
Lolofitu Moi
Mandrehe
Mandrehe Barat
Mandrehe Utara
Moro'o
Sirombu
Ulu Moro'o"
26,Kota Sibolga,"Sibolga Kota
Sibolga Sambas
Sibolga Selatan
Sibolga Utara"
27,Kota Tanjung Balai,"Datuk Bandar
Datuk Bandar Timur
Sei Tualang Raso
Tanjungbalai Selatan
Tanjungbalai Utara
Teluk Nibung"
28,Kota Pematang Siantar,"Siantar Barat
Siantar Marihat
Siantar Marimbun
Siantar Martoba
Siantar Selatan
Siantar Sitalasari
Siantar Timur
Siantar Utara"
29,Kota Tebing Tinggi,"Bajenis
Padang Hilir
Padang Hulu
Rambutan
Tebing Tinggi Kota"
30,Kota Medan,"Medan Amplas
Medan Area
Medan Barat
Medan Baru
Medan Belawan
Medan Deli
Medan Denai
Medan Helvetia
Medan Johor
Medan Kota
Medan Labuhan
Medan Maimun
Medan Marelan
Medan Perjuangan
Medan Petisah
Medan Polonia
Medan Sunggal
Medan Selayang
Medan Tembung
Medan Tuntungan
Medan Timur"
31,Kota Binjai,"Binjai Barat
Binjai Kota
Binjai Selatan
Binjai Timur
Binjai Utara"
32,Kota Padangsidimpuan,"Padangsidimpuan Angkola Julu
Padangsidimpuan Batunadua
Padangsidimpuan Hutaimbaru
Padangsidimpuan Selatan
Padangsidimpuan Tenggara
Padangsidimpuan Utara"
33,Kota Gunungsitoli,"Gunungsitoli
Gunungsitoli Alo'oa
West Gunungsitoli
Gunungsitoli Idanoi
South Gunungsitoli
North Gunungsitoli"
